word	valmn	aromn	ntile_valmn	ntile_aromn
bunny	7.24	4.06	5	1
innocent	6.51	4.21	4	1
complete	8.17	5.75	5	4
wool	5.27	3.6	3	1
malt	6.17	4.83	4	3
silk	6.9	3.71	5	1
nasty	3.58	4.89	2	3
dummy	3.38	4.35	1	2
bride	7.34	5.55	5	4
missiles	3.17	6.69	1	5
amuse	7.57	5.97	5	5
awaken	5.34	5	3	3
kindness	7.82	4.3	5	2
bark	4.68	6.07	2	5
testicles	5.38	5.25	3	3
refine	5.5	4.48	3	2
infection	1.66	5.03	1	3
growl	4.11	5.93	2	5
killer	1.89	7.86	1	5
calm	6.73	3.6	4	1
castrate	2.16	5.75	1	4
sword	5.52	6.08	3	5
jaguar	6.62	5.5	4	4
shrimp	6	4.52	4	2
bawl	3.41	5	1	3
mantel	4.93	3.27	2	1
alcoholic	2.84	5.69	1	4
rainbow	8.14	4.64	5	2
messy	3.15	3.34	1	1
corrupt	3.32	4.67	1	2
gorilla	5.56	5.52	3	4
miracle	8.6	7.65	5	5
razor	4.81	5.36	2	4
surgeon	5.36	5.86	3	4
arrogant	3.69	5.65	2	4
movie	6.86	4.93	5	3
picnic	7.07	5.18	5	3
expert	6.4	5.17	4	3
ramble	4.23	4.53	2	2
comet	6.23	5.97	4	5
fault	3.43	4.07	1	1
punk	4.37	4.59	2	2
contempt	3.85	5.28	2	3
theory	5.3	4.62	3	2
wild	6.37	6.43	4	5
animal	6.48	5.55	4	4
cattle	5.5	4.2	3	1
decency	5.83	4.5	4	2
intoxicated	5	6.19	3	5
overcast	3.65	3.46	2	1
